Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2025;Jan 2, 2025;92642.5;33560.75;68182.5;904260.75;56781.25;3054;0;78747.75;56688.5;94714.25;5171.25;43258.75
Jan 2, 2025;Jan 3, 2025;98269.5;34751.75;131287;506115.5;29470.75;3026;0;189536.5;100554;197138.5;34925.25;42397.75
Jan 3, 2025;Jan 4, 2025;96623.5;35305;96849.75;678718.75;30355.5;3118.25;0;196708.25;108910.25;215450.25;11116.75;41535.75
Jan 4, 2025;Jan 5, 2025;99989.75;36686.25;56389.5;259667.75;27526.25;3238;0;283078.5;119107;199086;34604.5;42372
Jan 5, 2025;Jan 6, 2025;97232.5;37078;107471;494995.75;9092.5;3196.25;0;197156.75;44942.25;144152.75;10062;41021.25
Jan 6, 2025;Jan 7, 2025;92141;39849.25;110000.5;935617.5;40295.25;3105.5;0;86080;47030.5;115267.5;17397.75;40178.75
Jan 7, 2025;Jan 8, 2025;99018.75;41676.25;92782.75;869129;47116.25;3126;0;135939.5;75857;160414.5;33120;37488.75
Jan 8, 2025;Jan 9, 2025;102934.5;41683.75;92283.5;571546.5;32787;3165.5;0;232763.5;139722.5;255269.75;24684.75;39383
Jan 9, 2025;Jan 10, 2025;104521.75;46138;49488;380266;30077.5;3115.74;0;271461.75;162552;269352.5;36491;42932.25
Jan 10, 2025;Jan 11, 2025;105109;44025.75;94535;521278.5;40318.25;3241.16;0;243388.75;140550.25;237122.25;28852.25;42821
Jan 11, 2025;Jan 12, 2025;104108;40592.75;57245.75;507007.75;51872.5;3284.71;0;193908.5;132947.75;259845;6619.75;41657
Jan 12, 2025;Jan 13, 2025;105522.25;41416;24254.75;255121.5;64977.75;3293.17;0;235072.75;134282.25;228473.5;23466;43225
Jan 13, 2025;Jan 14, 2025;105622.5;44677.25;105549;179902.5;83647.75;3157.53;0;253384.75;149359;336356.25;39066;48310.75
Jan 14, 2025;Jan 15, 2025;106140;46245.75;140255.75;437204.75;68972.25;3165.58;0;251743;140928.75;362327.75;28614.5;50241
Jan 15, 2025;Jan 16, 2025;108019.5;50019.75;27973;153305;22816.5;3219.5;0;290373;153176.75;420208;43421;44204.25
Jan 16, 2025;Jan 17, 2025;106186.5;47684.5;94357;115134.75;45649;3227.5;0;258973.75;131179.5;399633.25;35127.75;43148.5
Jan 17, 2025;Jan 18, 2025;106707.25;50953;90572.5;62176.75;33999.5;3238.25;0;270614.75;132500.25;386613.75;43448.25;46307.75
Jan 18, 2025;Jan 19, 2025;106589.75;45409.5;20504.5;61516.25;70783.5;3204.25;0;249656.75;133499.25;344004.75;21668.25;43539.75
Jan 19, 2025;Jan 20, 2025;104993.75;42393.75;5009.25;130763;107347.25;3193.5;0;244919;134927;289150.25;14864.5;43274.5
Jan 20, 2025;Jan 21, 2025;108137.25;50612.5;26526;93391.5;76330;3138.25;0;260282;158795.75;389733.75;49746.75;36587.25
Jan 21, 2025;Jan 22, 2025;108407.25;50616;101733.25;66455.25;72233.75;3204;0;284828.5;159155;417402;44298.75;39681.25
Jan 22, 2025;Jan 23, 2025;107651.5;45096.5;34275.25;287857.75;65603;3237.25;0;278849;158453.75;381848.75;33496.5;37119.25
Jan 23, 2025;Jan 24, 2025;102885.5;37857.25;103467.5;642017.25;33519;3234.5;0;224805.25;130010.75;248827.5;18311.75;35098.5
Jan 24, 2025;Jan 25, 2025;101346;36599;124716.25;779479.25;62504.75;2940.75;0;123167.5;94998.5;200716.75;10556.25;33828.25
Jan 25, 2025;Jan 26, 2025;106373.25;34852.25;107712;460465.5;53975.75;2683.5;0;185713;76879.75;149356.75;39803;33470
Jan 26, 2025;Jan 27, 2025;107170.5;34352;56047;354777;54017.75;2782.5;0;228010.75;63638;144628.5;16426;35981
Jan 27, 2025;Jan 28, 2025;105047.5;36010.25;129650;785890.5;45989;2749;0;145832.25;59115.75;148791.5;20936.25;34391
Jan 28, 2025;Jan 29, 2025;106747;43231.75;126830.5;484716.25;44580;2611;0;214336.25;90511.75;193021.5;41112.5;34344.5
Jan 29, 2025;Jan 30, 2025;105545;44391.5;100070.25;648855.75;66163.25;2815;0;205616;90137;183939.75;25950;34723.75
Jan 30, 2025;Jan 31, 2025;106993.25;44727.5;102114.5;268692;69635.75;3199.5;0;243911;137830.5;280528.5;30488;29681.75
Jan 31, 2025;Feb 1, 2025;107288.75;42966.75;61684.25;304805.25;89026.25;3239.25;0;268103;152799.5;270898.25;29265;31412.5
Feb 1, 2025;Feb 2, 2025;106977.5;41715;7928;100842;124061.25;3286.5;0;285516.5;150912.5;222211;21205;32391
Feb 2, 2025;Feb 3, 2025;106675;40175;17128.5;46868;126384.25;3268;0;287189.75;140651.25;212370;14445.5;32685.75
Feb 3, 2025;Feb 4, 2025;108076.5;44375;36594.25;50420.75;108915.25;3044.25;0;290509.5;128561.25;343633.75;42708.75;36145.75
Feb 4, 2025;Feb 5, 2025;107194.75;44468;115574;167005;94754.75;2987.25;0;278828.75;135616.75;334070.75;33719.25;38064
Feb 5, 2025;Feb 6, 2025;104830;43718.75;84551.75;228640.5;71152.25;3183.25;0;268875.25;153876.75;355516.75;28815.25;37889.75
Feb 6, 2025;Feb 7, 2025;104790.5;42352.25;50374.75;164031.5;40593;3106.75;0;274390.25;189545.5;352893;29769.5;38136.5
Feb 7, 2025;Feb 8, 2025;103441.75;36711.25;150507.25;649838.25;72696;3141.75;0;249376.25;154388.5;223026.25;13519.25;44294.25
Feb 8, 2025;Feb 9, 2025;107739.25;37012.5;123992;388101.75;154275.75;2629.75;0;218979.25;138904.25;204408.25;14120.25;36969
Feb 9, 2025;Feb 10, 2025;107528;34802.5;105202;206922;122205.75;2492.5;0;228049.25;161862.5;235740.25;15521.5;36807.25
Feb 10, 2025;Feb 11, 2025;107201.5;35556.75;140019.25;478044.75;85127.25;2529.25;0;229882.25;175766.25;262344.5;26088.75;44587.5
Feb 11, 2025;Feb 12, 2025;105968.75;41362.75;103630.5;525244.75;71124.25;2594;0;208621;187399;308420.75;27299.75;42874.25
Feb 12, 2025;Feb 13, 2025;106861;42163.5;141826;267747.25;62317;2845.5;0;242985.5;198878.5;345317.5;28399.75;43079.75
Feb 13, 2025;Feb 14, 2025;108086.5;49709.5;76237.25;131958.5;28449.25;3048.25;0;260470.75;189872;385702;42030;45716.5
Feb 14, 2025;Feb 15, 2025;109307;49533.25;20529.75;81256.25;27663.25;3195.5;0;253091.5;186898.5;407295.5;40515.5;45308.25
Feb 15, 2025;Feb 16, 2025;108956.75;43789.5;18584.75;31009.5;60230.5;3264.75;0;252334.5;193996.5;301756.5;20626;47989.25
Feb 16, 2025;Feb 17, 2025;106625.75;37760.75;57800;183402.25;97200.25;3254;0;239288.25;185591.75;230924.25;10401.5;48234.25
Feb 17, 2025;Feb 18, 2025;107701.5;39728.5;18781.25;97957.5;186219;3225.5;0;281081.5;185984;350627;42611.25;50200.75
Feb 18, 2025;Feb 19, 2025;107644.25;38315.75;55955.5;211343.25;211395.5;3206.75;0;283280.5;169609.25;299454.5;28407;44035.25
Feb 19, 2025;Feb 20, 2025;107777;36385;132231.5;466425.25;212098.25;3225.75;0;245766;153191.25;241421;21254.5;42641.25
Feb 20, 2025;Feb 21, 2025;108481.75;35351.5;147046;409024.5;130990;3056.5;0;246315.5;156333.75;240315.25;30620;43780.75
Feb 21, 2025;Feb 22, 2025;107280.75;34217.5;144319.5;395186;159384.75;3055.75;0;226612;95241.25;183574;21388;40858
Feb 22, 2025;Feb 23, 2025;106766.5;34785;128186.75;463760.75;141190;2962.75;0;168313.75;62164.25;126135.5;35903.75;40881.75
Feb 23, 2025;Feb 24, 2025;105401.75;33675.75;99661;268334;137532;3011;0;202211;67368;124684.5;24099.5;40140.5
Feb 24, 2025;Feb 25, 2025;104115.5;32407.75;145863.25;569689.75;116136;2835;0;197625.5;87027.25;149803.5;13792.5;39775.5
Feb 25, 2025;Feb 26, 2025;105390.75;36887.5;47868.75;137177.5;112589;2916.25;0;283434.25;140714.75;278296.75;38572.75;42413.5
Feb 26, 2025;Feb 27, 2025;104983.5;36686.25;18504.5;179163.75;65861.25;3087.25;0;291850.25;153643.5;331682.5;27918.75;39314
Feb 27, 2025;Feb 28, 2025;103205;35832.25;37906.5;200827.5;111052.75;3154;0;295847;144890.25;314751;23111;40677.75
Feb 28, 2025;Mar 1, 2025;103346.5;34250;33346;127181.25;87049.5;3120.5;0;301375.25;147948.5;336072.5;28121.25;41930.5
Mar 1, 2025;Mar 2, 2025;103533.37;33859.5;24356.5;109210;113459.37;3091.71;0;297311.75;142291.75;205293;23180.25;43448
Mar 2, 2025;Mar 3, 2025;101886.04;34637;88687.25;175953;233789.87;3068.6;0;248214;101334.25;153822.75;21015.25;48718.75
Mar 3, 2025;Mar 4, 2025;102639.63;34366.5;123688.75;223292;271225.7;2925.02;0;256714.75;115561.25;205025.5;35350;48792.25
Mar 4, 2025;Mar 5, 2025;102946.22;33385.25;118209;209951.25;261327.57;2849.63;0;249893.25;117490;202975.75;32035.5;36599
Mar 5, 2025;Mar 6, 2025;102211.02;31895;140209.75;350216.75;275759.41;2844.26;0;222389;79872.75;198899.75;29145.25;34928.25
Mar 6, 2025;Mar 7, 2025;103068.75;33249.5;90135;226418.75;280978.22;2754.69;0;232176.75;86635;179674.25;34888;30286.25
Mar 7, 2025;Mar 8, 2025;103120.87;32686.75;37171.25;120764.5;276951.59;2841.51;0;239636.25;98809.25;196830.75;38363.25;31160.25
Mar 8, 2025;Mar 9, 2025;101628.84;30122.5;37259.5;167915.5;276344.31;2852.13;0;208812;59412;148264.5;21204;31108
Mar 9, 2025;Mar 10, 2025;100922.19;29180.25;65178;135497.5;274183.01;2812.85;0;198461.5;53634;121091.25;23479.75;35440.5
Mar 10, 2025;Mar 11, 2025;101323.86;28229.75;25068.5;76652.25;195868.02;2798.75;0;218094;109379;238040;32361.25;37141
Mar 11, 2025;Mar 12, 2025;102209.09;28958.75;38408.25;76864;156305.86;2826.14;0;245694.25;142425.25;284387.5;33954.75;37382
Mar 12, 2025;Mar 13, 2025;102853.89;30821.5;24641;76839.25;90916.45;2631.15;0;270209.75;155942;289812.5;33976.25;41050.75
Mar 13, 2025;Mar 14, 2025;102980.51;32921.5;55748;69254.25;114235.63;2853.52;0;279633;150052;286834;31104.25;40369
Mar 14, 2025;Mar 15, 2025;102980.38;35114.75;50081.75;94833.75;117652.87;2880.4;0;275515.75;139411.25;267529.25;28267;47134.75
Mar 15, 2025;Mar 16, 2025;101623.07;31333.75;20635.5;285356;158576.82;2917.58;0;236969.25;68303;133050;22574.75;46689.25
Mar 16, 2025;Mar 17, 2025;101012.72;29254.5;65015.5;228095.75;232471.48;2978.36;0;228681;66607.75;130690.5;21462.75;40538.75
Mar 17, 2025;Mar 18, 2025;101813.68;29557.25;62886;296244.75;268308.47;2908.56;0;241601;97146;167780.5;31322.25;39361.75
Mar 18, 2025;Mar 19, 2025;102137.27;29972;23343.75;198121.5;339752.68;2939.83;0;236132;122173.25;182565.5;27794.75;40948.75
Mar 19, 2025;Mar 20, 2025;102527.64;30279.75;14108.75;102239.75;334206.28;2913.31;0;257668.25;120074;222077.5;35600;36972.75
Mar 20, 2025;Mar 21, 2025;102047;30064.25;16761.25;103119.5;312618.41;2766.63;0;262999;120720.25;232878.5;32369;34131.5
Mar 21, 2025;Mar 22, 2025;100106.17;28749.5;77071.25;339130.75;295731.93;2701.02;0;173033.75;75375.75;136918.25;33060;37299.75
Mar 22, 2025;Mar 23, 2025;97430.51;29388.75;72427.75;614614.25;260512.9;2832;0;94116;43871.5;105804.75;13385.25;39267
Mar 23, 2025;Mar 24, 2025;99957.42;29233.5;110747.75;276992;183685.93;2834.21;0;148029;64375.25;120628;26062.75;41332
Mar 24, 2025;Mar 25, 2025;101366.95;29491.25;10981.75;50118.25;177996.21;2683.4;0;296656.5;139022.75;242602.25;45208;43888
Mar 25, 2025;Mar 26, 2025;100276.52;31131.75;84571.25;166926.5;197587.68;2804.62;0;287560.25;133345;177706;22909;42745.5
Mar 26, 2025;Mar 27, 2025;100594.47;31248.75;61577.75;210492.25;110776.74;2680.6;0;294537;158096;205705;30934;40064.75
Mar 27, 2025;Mar 28, 2025;99014.29;29264;101140.25;102523.75;252725.35;2467.31;0;280421.75;127899.5;156337.5;31191.5;38371.5
Mar 28, 2025;Mar 29, 2025;99943.31;30340;77940.75;147350.5;333176.3;2750.95;0;261968;92500;146348.5;32715;41217.75
Mar 29, 2025;Mar 30, 2025;99415.23;29956;39464.25;240727.5;199314.93;2901.08;0;201220.5;66985.25;102117;33042.75;40770
Mar 30, 2025;Mar 31, 2025;90192.02;32845.25;72105.5;648926.25;154325.41;2692.76;0;102920.25;35677.75;66848;8222;35059.25
Mar 31, 2025;Apr 1, 2025;95881.97;33641;59466.5;367050.25;155545;2851.13;0;230407.25;99670.75;141316.25;36960.5;41447.75
Apr 1, 2025;Apr 2, 2025;95351;33379.75;21155.75;287475.5;269969.5;2731;0;233717;100056.25;144142.5;28030;42796
Apr 2, 2025;Apr 3, 2025;93541.25;32341;68540.25;446878.25;322821.75;2714.5;0;180255.25;68665.75;96234.5;29575.5;42684
Apr 3, 2025;Apr 4, 2025;94086.5;32719;46248.25;269295.75;368875.5;2521;0;198592.75;83867.5;115902;38133.75;43636.5
Apr 4, 2025;Apr 5, 2025;94893;32359.75;30976.75;114144.75;370820;2718.5;0;222289;102653.25;127485.5;38708.25;43208
Apr 5, 2025;Apr 6, 2025;92669.5;30827.25;62731.5;317465.25;326259.5;2759.5;0;115557.25;31238.25;74630;28409.25;40225.75
Apr 6, 2025;Apr 7, 2025;91946;30408.25;32875.5;240947.5;355100.25;2865.25;0;99358.5;42273.5;79937.75;23303.25;39414.25
Apr 7, 2025;Apr 8, 2025;93658.5;30041.75;20227.5;159717.5;355954.5;2811.25;0;192202.5;114402.5;160768.25;32841;42235.75
Apr 8, 2025;Apr 9, 2025;94985.5;33089;2013.25;62123.5;348351.75;2832.25;0;202862.75;133369.75;191068;37500.75;40787.5
Apr 9, 2025;Apr 10, 2025;95157.25;31991.25;64938.5;165311.25;290773;2840.75;0;196652;112478.25;166562;30828.25;40169.25
Apr 10, 2025;Apr 11, 2025;96784.25;30249.75;58717;225523.75;293471.75;2811;0;186471;117702.25;159924;39318.75;42962
Apr 11, 2025;Apr 12, 2025;98599.75;31700.75;51840.75;403650.75;321993.75;2729.5;0;141339;92666.75;146679;40543.25;41365.5
Apr 12, 2025;Apr 13, 2025;98982;29138.5;39860.5;140242.5;366719;2696;0;128644.25;52313;115899.5;42452.25;38007.25
Apr 13, 2025;Apr 14, 2025;97863.75;28884.75;94471.25;431156.75;201453.75;2637.25;0;110110.5;48286.5;83034.25;17698;36040.75
Apr 14, 2025;Apr 15, 2025;100373.25;31990.75;34495.5;127183.25;303543;2637.75;0;216988.25;119830.5;139107.5;41718;37365
Apr 15, 2025;Apr 16, 2025;98305;32061.75;98527.75;412083.25;260386.25;2636.25;0;190807.5;98900.5;122383.5;29136;36087.75
Apr 16, 2025;Apr 17, 2025;98865.5;33817.75;33681;191054.75;271589.5;2589.5;0;218238.5;112562.25;125913.5;34272.25;34716.75
Apr 17, 2025;Apr 18, 2025;100135.75;37072;39889;341716.5;162966.25;2715.25;0;223835.5;110121.5;144230;33913.75;42483.25
Apr 18, 2025;Apr 19, 2025;99369.75;36129.25;34877.75;204731.75;90705.5;2794.25;0;218890;94038.5;97989.75;24406.25;41607
Apr 19, 2025;Apr 20, 2025;99354.5;35207.75;39414.75;71022.25;273892.5;2779.5;0;148974.5;40838.25;87287;30743;40132.5
Apr 20, 2025;Apr 21, 2025;98214;32644;21614.25;101092;315270.25;2724.75;0;119539;31812.25;79219.75;33545.75;41285
Apr 21, 2025;Apr 22, 2025;97908.5;31857.25;2751.5;67840;239729.5;2677.5;0;156292.25;57250.25;95846.75;20928.75;42730.75
Apr 22, 2025;Apr 23, 2025;98958.25;33905.25;3932.25;72591.75;254611.5;2628.25;0;195099.75;118472.5;147116;38791.5;39443
Apr 23, 2025;Apr 24, 2025;99314;33253.25;25678.5;81693.75;269961.75;2709.75;0;195688.25;123256.25;181863;24583;40043
Apr 24, 2025;Apr 25, 2025;98651.25;38793.5;49004.25;180297;164951.25;2809.75;0;212802.25;98417.5;137689;28902.75;37455.75
Apr 25, 2025;Apr 26, 2025;104577.75;40347.5;7054.5;127745.5;202337.5;2826.75;0;203840;77884.25;125999.75;30312.75;34276.75
Apr 26, 2025;Apr 27, 2025;111434.5;36791.5;11538;228456.75;347937;2792;0;122816;22417.25;84359;32015.25;31648.5
Apr 27, 2025;Apr 28, 2025;109707.5;33688.5;33563.75;181109.5;382400.5;2751.25;0;109580;24714.5;72620.5;23939.25;31547.75
