Date,Residual Load
2025-12-03,1235679.67
2025-02-14,1233094.3699999999
2025-12-05,1207338.8399999999
2025-01-17,1196504.75
2025-11-25,1183272.47
2025-11-26,1178481.39
2025-12-04,1177046.85
2025-02-13,1167029.97
2025-01-20,1160509.5
2025-01-15,1160461.75
